nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,iter,put_wall_us,put_max_local_us,collect_wall_us,collect_max_local_us,barrier_wall_us,barrier_max_local_us
1,2,1,1,8,1024,8192,49152,0,495.6,495.6,109.6,109.6,96.0,96.0
1,2,1,1,8,1024,8192,49152,1,526.1,526.1,106.5,106.5,92.4,92.4
1,2,1,1,8,1024,8192,49152,2,513.3,513.3,94.2,94.2,81.9,81.9
1,2,1,1,8,1024,8192,49152,3,523.8,523.8,126.7,126.7,88.6,88.6
1,2,1,1,8,1024,8192,49152,4,566.3,566.3,95.5,95.5,94.0,94.0
1,64,1,1,8,1024,8192,49152,0,496.4,496.4,100.4,100.4,136.7,136.7
1,64,1,1,8,1024,8192,49152,1,562.2,562.2,109.3,109.3,99.1,99.1
1,64,1,1,8,1024,8192,49152,2,503.3,503.3,89.3,89.3,89.3,89.3
1,64,1,1,8,1024,8192,49152,3,516.4,516.4,88.6,88.6,87.8,87.8
1,64,1,1,8,1024,8192,49152,4,546.6,546.6,86.8,86.8,87.8,87.8
2,2,1,2,8,1024,8192,98304,0,570.6,530.7,803.1,803.1,288.8,248.3
2,2,1,2,8,1024,8192,98304,1,547.1,511.7,865.3,865.3,255.7,223.2
2,2,1,2,8,1024,8192,98304,2,541.2,505.3,940.0,932.4,261.9,224.3
2,2,1,2,8,1024,8192,98304,3,563.5,538.9,938.2,938.2,255.5,224.0
2,2,1,2,8,1024,8192,98304,4,508.7,503.3,1049.3,1017.3,221.4,195.1
2,64,1,2,8,1024,8192,98304,0,580.6,545.8,802.3,802.3,267.3,230.1
2,64,1,2,8,1024,8192,98304,1,528.6,528.1,805.1,802.0,265.5,237.1
2,64,1,2,8,1024,8192,98304,2,518.1,501.8,900.1,883.2,289.3,255.0
2,64,1,2,8,1024,8192,98304,3,561.2,530.2,987.4,987.4,354.0,322.3
2,64,1,2,8,1024,8192,98304,4,603.9,603.9,1108.5,1106.9,236.5,207.4
4,2,1,4,8,1024,8192,196608,0,702.5,643.1,958.2,926.0,387.8,330.8
4,2,1,4,8,1024,8192,196608,1,642.8,642.8,1101.6,1054.7,463.6,362.8
4,2,1,4,8,1024,8192,196608,2,682.8,587.3,1191.2,1191.2,417.5,340.5
4,2,1,4,8,1024,8192,196608,3,781.8,697.9,1136.4,1136.4,379.4,312.8
4,2,1,4,8,1024,8192,196608,4,655.1,614.4,1152.5,1152.5,405.8,323.6
4,64,1,4,8,1024,8192,196608,0,709.1,567.0,890.6,890.6,384.3,298.8
4,64,1,4,8,1024,8192,196608,1,724.0,619.8,967.7,967.7,373.0,338.4
4,64,1,4,8,1024,8192,196608,2,751.1,632.6,1034.2,1034.2,363.3,272.1
4,64,1,4,8,1024,8192,196608,3,664.3,587.3,1079.0,1079.0,292.4,262.1
4,64,1,4,8,1024,8192,196608,4,725.2,668.9,1369.9,1369.9,348.9,307.7
8,2,1,8,8,1024,8192,393216,0,1207.8,791.6,2004.7,1833.2,705.0,563.2
8,2,1,8,8,1024,8192,393216,1,925.2,745.0,1950.7,1950.7,688.1,572.7
8,2,1,8,8,1024,8192,393216,2,768.8,768.8,2907.1,2824.7,713.0,519.9
8,2,1,8,8,1024,8192,393216,3,964.1,799.2,3663.4,3480.3,750.6,598.0
8,2,1,8,8,1024,8192,393216,4,919.0,775.4,3044.6,2980.6,628.7,525.3
8,64,1,8,8,1024,8192,393216,0,896.0,622.6,2243.1,2243.1,615.7,521.5
8,64,1,8,8,1024,8192,393216,1,818.7,673.8,2215.9,2214.4,527.6,504.6
8,64,1,8,8,1024,8192,393216,2,446.5,390.1,2871.6,2738.7,622.8,509.7
8,64,1,8,8,1024,8192,393216,3,760.8,613.4,2937.6,2931.7,567.0,450.3
8,64,1,8,8,1024,8192,393216,4,535.6,351.7,2949.4,2915.6,463.1,452.6
16,2,1,16,8,1024,8192,786432,0,1134.3,1081.1,6763.8,6269.4,1436.2,1097.7
16,2,1,16,8,1024,8192,786432,1,1242.1,726.8,5554.4,5548.5,1072.9,839.2
16,2,1,16,8,1024,8192,786432,2,1369.3,834.8,8138.2,7905.3,1142.0,878.8
16,2,1,16,8,1024,8192,786432,3,1037.6,996.1,8912.4,8428.0,1130.8,838.7
16,2,1,16,8,1024,8192,786432,4,1057.8,938.5,8657.2,8443.9,1249.3,1010.7
16,64,1,16,8,1024,8192,786432,0,1500.2,1039.1,6320.9,6193.7,1328.6,970.2
16,64,1,16,8,1024,8192,786432,1,1308.9,859.6,7309.8,7044.4,1150.7,954.9
16,64,1,16,8,1024,8192,786432,2,1296.9,954.9,8441.3,8265.7,1065.2,922.1
16,64,1,16,8,1024,8192,786432,3,1282.0,749.8,9187.1,9031.7,1206.5,886.0
16,64,1,16,8,1024,8192,786432,4,1261.3,1143.0,9361.9,9246.2,988.2,812.5
32,64,1,32,8,1024,8192,1572864,0,2657.0,1171.7,16851.2,16569.9,2151.4,1673.5
32,64,1,32,8,1024,8192,1572864,1,2087.4,1031.7,19943.4,19623.2,2139.1,1767.4
32,64,1,32,8,1024,8192,1572864,2,1971.2,1513.0,27535.6,27344.6,1860.6,1511.4
32,64,1,32,8,1024,8192,1572864,3,2394.9,1554.2,29286.9,27733.8,1946.6,1650.7
32,64,1,32,8,1024,8192,1572864,4,2569.2,1422.6,31450.6,30867.7,2129.7,1699.8
40,2,1,40,8,1024,8192,1966080,0,2693.6,1909.2,20410.9,20017.9,3156.0,2815.2
40,2,1,40,8,1024,8192,1966080,1,2688.8,1749.2,32405.2,31786.8,2674.7,2207.5
40,2,1,40,8,1024,8192,1966080,2,2551.6,2346.2,33799.9,33151.2,2811.1,2131.7
40,2,1,40,8,1024,8192,1966080,3,2895.6,1916.7,39530.0,39510.3,2577.9,2012.4
40,2,1,40,8,1024,8192,1966080,4,3004.4,1821.7,62231.0,59907.8,2599.9,2122.0
