nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,samples,put_med_us,collect_med_us,collect_min_us,collect_max_us,barrier_med_us,barrier_min_us,barrier_max_us,data_cost_us
1,2,1,1,8,1024,8192,49152,5,523.8,106.5,94.2,126.7,92.4,81.9,96.0,14.1
1,64,1,1,8,1024,8192,49152,5,516.4,89.3,86.8,109.3,89.3,87.8,136.7,0.0
2,2,1,2,8,1024,8192,98304,5,547.1,938.2,803.1,1049.3,255.7,221.4,288.8,682.5
2,64,1,2,8,1024,8192,98304,5,561.2,900.1,802.3,1108.5,267.3,236.5,354.0,632.8
4,2,1,4,8,1024,8192,196608,5,682.8,1136.4,958.2,1191.2,405.8,379.4,463.6,730.6
4,64,1,4,8,1024,8192,196608,5,724.0,1034.2,890.6,1369.9,363.3,292.4,384.3,670.9
8,2,1,8,8,1024,8192,393216,5,925.2,2907.1,1950.7,3663.4,705.0,628.7,750.6,2202.1
8,64,1,8,8,1024,8192,393216,5,760.8,2871.6,2215.9,2949.4,567.0,463.1,622.8,2304.6
16,2,1,16,8,1024,8192,786432,5,1134.3,8138.2,5554.4,8912.4,1142.0,1072.9,1436.2,6996.2
16,64,1,16,8,1024,8192,786432,5,1296.9,8441.3,6320.9,9361.9,1150.7,988.2,1328.6,7290.6
32,64,1,32,8,1024,8192,1572864,5,2394.9,27535.6,16851.2,31450.6,2129.7,1860.6,2151.4,25405.9
40,2,1,40,8,1024,8192,1966080,5,2693.6,33799.9,20410.9,62231.0,2674.7,2577.9,3156.0,31125.2
