nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,iter,put_wall_us,put_max_local_us,collect_wall_us,collect_max_local_us,barrier_wall_us,barrier_max_local_us,neighbors_wall_us,neighbors_max_local_us
8,2,1,8,8,1024,8192,262144,0,761.3,626.2,2401.3,2401.3,595.2,457.5,219.4,0.0
8,2,1,8,8,1024,8192,262144,1,885.2,502.5,2331.9,2226.2,575.7,480.5,196.1,0.0
8,2,1,8,8,1024,8192,262144,2,768.5,626.4,3016.7,3016.7,657.2,496.1,214.5,0.0
8,2,1,8,8,16384,131072,4194304,0,2460.2,2241.0,9101.8,8230.7,676.1,593.7,86.5,0.0
8,2,1,8,8,16384,131072,4194304,1,3490.0,3354.9,12151.6,11953.2,657.4,588.0,186.1,0.0
8,2,1,8,8,16384,131072,4194304,2,4107.0,4026.1,15420.7,15420.7,711.2,588.5,235.3,0.0
16,2,1,16,8,1024,8192,524288,0,1110.8,1089.8,5680.1,5494.8,1145.1,987.6,307.2,0.0
16,2,1,16,8,1024,8192,524288,1,1181.4,709.6,6356.2,5838.6,1091.1,869.9,394.8,0.0
16,2,1,16,8,1024,8192,524288,2,1033.2,876.3,8663.8,8514.6,1166.6,902.4,368.4,0.0
16,2,1,16,8,16384,131072,8388608,0,43528.2,43301.9,24486.1,23493.4,1474.0,1057.8,453.9,0.0
16,2,1,16,8,16384,131072,8388608,1,5353.2,5278.0,31215.1,30387.7,1210.4,871.7,452.1,0.0
16,2,1,16,8,16384,131072,8388608,2,6967.0,6834.4,41496.1,40919.8,1372.2,1189.6,393.5,0.0
