nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,iter,put_wall_us,put_max_local_us,collect_wall_us,collect_max_local_us,barrier_wall_us,barrier_max_local_us
8,2,1,8,8,1024,8192,393216,0,1062.1,910.1,2603.5,2543.6,815.1,638.2
8,2,1,8,8,1024,8192,393216,1,1087.7,1025.0,2568.4,2568.4,813.3,770.6
8,2,1,8,8,1024,8192,393216,2,1058.8,894.7,3002.1,2913.0,765.4,662.0
8,2,1,8,8,1024,8192,393216,3,1001.0,846.8,3523.3,3484.9,706.8,610.0
8,2,1,8,8,1024,8192,393216,4,983.0,965.4,3193.3,3193.3,656.1,556.8
8,2,1,8,8,4096,32768,1572864,0,1099.0,1099.0,4035.6,3983.9,756.5,592.6
8,2,1,8,8,4096,32768,1572864,1,1282.6,1282.6,4392.7,4392.7,681.0,499.5
8,2,1,8,8,4096,32768,1572864,2,1680.4,1488.4,5242.9,5077.0,731.6,636.9
8,2,1,8,8,4096,32768,1572864,3,1829.4,1724.2,6952.7,6871.8,688.4,498.9
8,2,1,8,8,4096,32768,1572864,4,1771.0,1771.0,7644.4,7237.4,630.3,518.4
8,2,1,8,8,16384,131072,6291456,0,1977.3,1805.8,7761.4,6997.5,572.7,517.1
8,2,1,8,8,16384,131072,6291456,1,2812.4,2812.4,12792.1,12549.1,615.4,494.1
8,2,1,8,8,16384,131072,6291456,2,3277.3,2975.0,16276.5,16118.0,679.2,567.0
8,2,1,8,8,16384,131072,6291456,3,4697.6,3772.2,17365.5,17166.6,670.7,580.9
8,2,1,8,8,16384,131072,6291456,4,5930.8,5839.4,19354.4,19242.2,587.0,506.6
8,2,1,8,8,65536,524288,25165824,0,6727.4,6727.4,25033.2,24888.6,602.1,520.4
8,2,1,8,8,65536,524288,25165824,1,9573.6,9541.9,35908.1,35856.6,766.7,681.7
8,2,1,8,8,65536,524288,25165824,2,10131.2,10101.0,48888.1,48823.6,702.2,544.0
8,2,1,8,8,65536,524288,25165824,3,13713.7,13713.7,65201.4,65201.4,614.1,437.2
8,2,1,8,8,65536,524288,25165824,4,16008.7,15895.0,87726.8,87585.3,673.0,528.4
16,2,1,16,8,1024,8192,786432,0,1152.3,699.1,7142.1,6905.3,1141.5,840.7
16,2,1,16,8,1024,8192,786432,1,1019.1,802.3,6523.9,6406.9,1279.7,1085.4
16,2,1,16,8,1024,8192,786432,2,1163.3,792.1,8098.0,7554.3,1105.2,824.3
16,2,1,16,8,1024,8192,786432,3,1171.2,1066.0,9135.4,8395.8,1150.5,914.9
16,2,1,16,8,1024,8192,786432,4,1268.0,840.7,9923.1,9923.1,1297.9,1028.4
16,2,1,16,8,4096,32768,3145728,0,1608.7,1393.4,9194.8,8800.8,1085.7,905.5
16,2,1,16,8,4096,32768,3145728,1,2105.1,1868.5,11915.0,11415.0,1215.0,1049.1
16,2,1,16,8,4096,32768,3145728,2,2499.3,1879.6,14405.4,14272.5,1041.4,884.2
16,2,1,16,8,4096,32768,3145728,3,2820.4,2581.5,17434.9,17202.7,1003.3,719.1
16,2,1,16,8,4096,32768,3145728,4,4057.9,3555.3,21038.8,21038.8,1033.2,856.1
16,2,1,16,8,16384,131072,12582912,0,3815.9,3687.7,21391.9,20591.6,928.0,690.9
16,2,1,16,8,16384,131072,12582912,1,4641.5,4592.4,29127.7,28838.9,1163.5,974.1
16,2,1,16,8,16384,131072,12582912,2,5864.7,5764.4,40685.3,39821.8,1072.9,794.6
16,2,1,16,8,16384,131072,12582912,3,6969.1,6969.1,53385.0,52643.6,1199.1,1080.6
16,2,1,16,8,16384,131072,12582912,4,8424.2,7674.6,57768.2,57651.2,1141.0,828.7
16,2,1,16,8,65536,524288,50331648,0,17219.8,16908.3,74314.8,74290.2,1149.7,894.0
16,2,1,16,8,65536,524288,50331648,1,17957.6,17381.6,132422.7,130714.1,1175.0,932.1
16,2,1,16,8,65536,524288,50331648,2,20409.3,20003.8,252451.3,251168.0,1690.1,1215.7
16,2,1,16,8,65536,524288,50331648,3,27719.7,27459.6,497776.1,495347.5,1568.5,1500.9
16,2,1,16,8,65536,524288,50331648,4,39793.4,39661.8,1151911.7,1151911.7,1179.4,953.1
