nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,iter,put_wall_us,put_max_local_us,collect_wall_us,collect_max_local_us,barrier_wall_us,barrier_max_local_us,neighbors_wall_us,neighbors_max_local_us
8,2,1,8,8,1024,8192,393216,0,2261.8,2218.5,755.5,632.8,1034.5,808.7,2290.4,2276.4
8,2,1,8,8,1024,8192,393216,1,841.7,678.4,1118.5,879.6,3162.1,2956.8,719.9,609.3
8,2,1,8,8,1024,8192,393216,2,1031.4,840.2,3173.1,3057.4,637.2,502.8,1064.7,891.9
8,2,1,8,8,1024,8192,393216,3,4338.2,4213.0,603.6,490.8,237.8,42.0,0.0,0.0
8,2,1,8,8,1024,8192,393216,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2,1,16,8,1024,8192,786432,0,6293.8,6293.8,1158.9,941.1,1366.3,859.1,6685.4,6170.6
16,2,1,16,8,1024,8192,786432,1,1189.6,857.1,1033.2,722.2,8368.6,7988.0,1168.1,1088.5
16,2,1,16,8,1024,8192,786432,2,1245.2,1182.2,10236.4,10236.4,1194.5,1018.1,1517.3,1243.6
16,2,1,16,8,1024,8192,786432,3,10737.9,10517.8,1061.9,824.1,438.3,134.1,0.0,0.0
16,2,1,16,8,1024,8192,786432,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
