nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,iter,put_wall_us,put_max_local_us,collect_wall_us,collect_max_local_us,barrier_wall_us,barrier_max_local_us,neighbors_wall_us,neighbors_max_local_us
8,2,1,8,8,1024,8192,262144,0,864.0,751.9,1948.2,1805.1,593.7,412.4,226.8,12.0
8,2,1,8,8,1024,8192,262144,1,763.4,501.5,1958.9,1935.6,605.4,420.9,241.2,13.1
8,2,1,8,8,1024,8192,262144,2,678.9,580.9,2772.2,2713.6,566.5,388.6,229.1,14.1
8,2,1,8,8,16384,131072,4194304,0,2425.3,2379.0,8301.8,7955.7,644.6,566.3,251.6,72.2
8,2,1,8,8,16384,131072,4194304,1,2990.6,2858.8,10290.7,10190.3,567.6,508.4,256.5,63.5
8,2,1,8,8,16384,131072,4194304,2,3853.1,3776.0,13942.8,13715.5,754.9,617.0,308.7,117.2
16,2,1,16,8,1024,8192,524288,0,803.3,559.6,5151.5,4812.0,1111.8,992.5,592.4,45.3
16,2,1,16,8,1024,8192,524288,1,1023.0,977.9,7231.7,7231.7,1359.6,1217.5,383.0,143.4
16,2,1,16,8,1024,8192,524288,2,995.1,814.3,8257.8,8257.8,1120.8,829.4,448.8,83.5
16,2,1,16,8,16384,131072,8388608,0,3925.2,3212.5,19897.3,19897.3,1151.5,911.9,516.6,101.4
16,2,1,16,8,16384,131072,8388608,1,5369.3,5323.3,29521.2,29258.0,1264.1,1101.3,473.6,70.9
16,2,1,16,8,16384,131072,8388608,2,7259.1,6632.4,37185.0,36850.9,1193.2,1041.7,504.1,105.5
