nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,iter,put_wall_us,put_max_local_us,collect_wall_us,collect_max_local_us,barrier_wall_us,barrier_max_local_us
8,2,1,8,8,1024,8192,393216,0,1089.3,875.0,2336.3,2243.3,777.7,639.5
8,2,1,8,8,1024,8192,393216,1,932.6,837.6,2577.9,2482.9,736.8,668.2
8,2,1,8,8,1024,8192,393216,2,1165.1,1062.4,3732.7,3505.2,815.6,781.1
8,2,1,8,8,1024,8192,393216,3,914.2,914.2,4049.2,4032.8,755.7,755.7
8,2,1,8,8,1024,8192,393216,4,1080.8,976.4,4316.4,4243.5,665.6,634.6
16,2,1,16,8,1024,8192,786432,0,1006.8,809.2,6322.9,6032.9,1149.4,960.0
16,2,1,16,8,1024,8192,786432,1,1041.4,871.7,6870.8,6388.7,1246.2,1068.8
16,2,1,16,8,1024,8192,786432,2,1174.8,1065.0,7854.8,7490.3,946.4,828.2
16,2,1,16,8,1024,8192,786432,3,1474.8,990.0,9840.6,9630.5,1195.3,934.7
16,2,1,16,8,1024,8192,786432,4,1355.8,857.9,11391.2,11102.5,1275.6,966.9
