nodes,radix,ppn,nprocs,nkeys,sizes,bytes_per_rank,collected_bytes,iter,put_wall_us,put_max_local_us,collect_wall_us,collect_max_local_us,barrier_wall_us,barrier_max_local_us
8,2,1,8,8,1024,8192,393216,0,632.3,258.8,2947.3,2628.6,1081.1,830.2
8,2,1,8,8,1024,8192,393216,1,1016.6,684.0,3247.9,2921.5,1002.8,687.4
8,2,1,8,8,1024,8192,393216,2,828.2,585.5,3461.9,3148.0,816.9,637.2
8,2,1,8,8,1024,8192,393216,3,1057.5,821.2,3842.3,3651.6,894.5,616.4
8,2,1,8,8,1024,8192,393216,4,1083.6,746.5,4299.5,4182.3,856.1,585.0
16,2,1,16,8,1024,8192,786432,0,1609.7,872.7,7192.8,6625.8,2126.8,1321.0
16,2,1,16,8,1024,8192,786432,1,1337.9,794.1,7891.2,7131.4,1661.4,1212.4
16,2,1,16,8,1024,8192,786432,2,1528.3,919.8,9161.5,8729.9,1836.0,1286.7
16,2,1,16,8,1024,8192,786432,3,1770.0,1441.8,9758.7,9313.3,1583.9,1117.4
16,2,1,16,8,1024,8192,786432,4,1715.5,1073.7,10799.6,10328.6,1650.2,1175.6
